exp,fold,seed,n_train,n_test,rmse,pearson,spearman,acc3,f1_macro3,params,train_minutes,git_sha,mae,per_complex_spearman,n_complexes_counted,dataset,note
E0e_mean,0,0,752,188,2.675760370949487,,,0.3723404255319149,0.1808785529715762,0,0.0,cbbc56a,1.9139607445277858,,9,skempi_abag,handcrafted/mean
E0e_mean,1,0,752,188,1.5800601808200583,,,0.526595744680851,0.22996515679442509,0,0.0,cbbc56a,1.3019393408757498,,11,skempi_abag,handcrafted/mean
E0e_mean,2,0,752,188,1.424308882974196,,,0.4734042553191489,0.21419975932611313,0,0.0,cbbc56a,1.1155499127426407,,11,skempi_abag,handcrafted/mean
E0e_mean,3,0,752,188,1.4114941407177035,,,0.324468085106383,0.16331994645247658,0,0.0,cbbc56a,1.1305241918929514,,11,skempi_abag,handcrafted/mean
E0e_mean,4,0,752,188,1.74956124623845,,,0.3670212765957447,0.17898832684824903,0,0.0,cbbc56a,1.2767845041352266,,11,skempi_abag,handcrafted/mean
E0e_mean,0,1,752,188,2.675760370949487,,,0.3723404255319149,0.1808785529715762,0,0.0,cbbc56a,1.9139607445277858,,9,skempi_abag,handcrafted/mean
E0e_mean,1,1,752,188,1.5800601808200583,,,0.526595744680851,0.22996515679442509,0,0.0,cbbc56a,1.3019393408757498,,11,skempi_abag,handcrafted/mean
E0e_mean,2,1,752,188,1.424308882974196,,,0.4734042553191489,0.21419975932611313,0,0.0,cbbc56a,1.1155499127426407,,11,skempi_abag,handcrafted/mean
E0e_mean,3,1,752,188,1.4114941407177035,,,0.324468085106383,0.16331994645247658,0,0.0,cbbc56a,1.1305241918929514,,11,skempi_abag,handcrafted/mean
E0e_mean,4,1,752,188,1.74956124623845,,,0.3670212765957447,0.17898832684824903,0,0.0,cbbc56a,1.2767845041352266,,11,skempi_abag,handcrafted/mean
E0e_mean,0,2,752,188,2.675760370949487,,,0.3723404255319149,0.1808785529715762,0,0.0,cbbc56a,1.9139607445277858,,9,skempi_abag,handcrafted/mean
E0e_mean,1,2,752,188,1.5800601808200583,,,0.526595744680851,0.22996515679442509,0,0.0,cbbc56a,1.3019393408757498,,11,skempi_abag,handcrafted/mean
E0e_mean,2,2,752,188,1.424308882974196,,,0.4734042553191489,0.21419975932611313,0,0.0,cbbc56a,1.1155499127426407,,11,skempi_abag,handcrafted/mean
E0e_mean,3,2,752,188,1.4114941407177035,,,0.324468085106383,0.16331994645247658,0,0.0,cbbc56a,1.1305241918929514,,11,skempi_abag,handcrafted/mean
E0e_mean,4,2,752,188,1.74956124623845,,,0.3670212765957447,0.17898832684824903,0,0.0,cbbc56a,1.2767845041352266,,11,skempi_abag,handcrafted/mean
E0a_rf_handcrafted,0,0,752,188,1.956006165916026,0.7232012007728573,0.7500800291945066,0.4946808510638298,0.47750538776391355,131516,0.022,cbbc56a,1.4112740044630065,0.49667596917795853,9,skempi_abag,handcrafted/rf
E0a_rf_handcrafted,1,0,752,188,1.7161002968684602,0.04847393576246439,-0.008119233812835887,0.2978723404255319,0.23675015631321492,131516,0.022,cbbc56a,1.362547171554013,0.2440791982275018,11,skempi_abag,handcrafted/rf
E0a_rf_handcrafted,2,0,752,188,1.1063918131657509,0.6834728672714567,0.6104869153485212,0.5,0.4865277767972494,131516,0.022,cbbc56a,0.8313627039055931,0.7036313695687766,11,skempi_abag,handcrafted/rf
E0a_rf_handcrafted,3,0,752,188,1.2651158004059666,0.45616867685104123,0.5197311846230949,0.601063829787234,0.5584876543209877,131516,0.022,cbbc56a,0.884485426221992,0.26834104557171806,11,skempi_abag,handcrafted/rf
E0a_rf_handcrafted,4,0,752,188,1.4607666907790908,0.5359772313347101,0.5325188807609692,0.4308510638297872,0.406176732152963,131516,0.022,cbbc56a,0.9853627301773336,0.49233642461322646,11,skempi_abag,handcrafted/rf
E0a_rf_handcrafted,0,1,752,188,1.9561838129174551,0.7194853636510803,0.7466522064894732,0.5106382978723404,0.4913381123058542,131308,0.019,cbbc56a,1.4153668965200203,0.49120986415825213,9,skempi_abag,handcrafted/rf
E0a_rf_handcrafted,1,1,752,188,1.6921556025959568,0.06383794508142177,0.032868854667956915,0.32978723404255317,0.26850088183421517,131308,0.019,cbbc56a,1.347323428463762,0.2460864088894193,11,skempi_abag,handcrafted/rf
E0a_rf_handcrafted,2,1,752,188,1.1103437098356157,0.6782863272953479,0.6017284042641855,0.48936170212765956,0.4731298256378791,131308,0.019,cbbc56a,0.8349398003109396,0.6839072219316669,11,skempi_abag,handcrafted/rf
E0a_rf_handcrafted,3,1,752,188,1.2694972382379144,0.45064459041312466,0.5094255742051389,0.6117021276595744,0.5685432326021372,131308,0.019,cbbc56a,0.8857791986819745,0.21760871371161356,11,skempi_abag,handcrafted/rf
E0a_rf_handcrafted,4,1,752,188,1.4694390261916765,0.529894043551677,0.5329983777496673,0.43617021276595747,0.4191728791812506,131308,0.019,cbbc56a,0.9976801786782773,0.4223217089986056,11,skempi_abag,handcrafted/rf
E0a_rf_handcrafted,0,2,752,188,1.963180317715589,0.7173953996507428,0.7495111334347142,0.4787234042553192,0.4555441403963365,131064,0.018,cbbc56a,1.4214907944335005,0.4903301288319955,9,skempi_abag,handcrafted/rf
E0a_rf_handcrafted,1,2,752,188,1.7013054608137534,0.06542246668551865,0.022557039418399247,0.2978723404255319,0.2357513844960677,131064,0.018,cbbc56a,1.358522172486049,0.1787876066198104,11,skempi_abag,handcrafted/rf
E0a_rf_handcrafted,2,2,752,188,1.1133358579639514,0.6753217695856266,0.596443858757893,0.5053191489361702,0.48584386820204745,131064,0.018,cbbc56a,0.8360367792802683,0.636636560837731,11,skempi_abag,handcrafted/rf
E0a_rf_handcrafted,3,2,752,188,1.2722818850542073,0.45064425472863323,0.5117015434445874,0.5957446808510638,0.5564698815236193,131064,0.018,cbbc56a,0.8902799921945956,0.23165050993395672,11,skempi_abag,handcrafted/rf
E0a_rf_handcrafted,4,2,752,188,1.4578739877976992,0.5400247423676927,0.5357597747203618,0.4308510638297872,0.40869492166169613,131064,0.018,cbbc56a,0.9827925710000007,0.47164232766770414,11,skempi_abag,handcrafted/rf
E0b_rf_pooled_esm,0,0,752,188,2.469332496190383,0.4662443286400676,0.45594446829909013,0.3617021276595745,0.2363563751280582,132176,0.092,cbbc56a,1.7215192723201411,0.48477449311479587,9,skempi_abag,pooled_esm/rf
